clusterName,clusterSize,f_score,PPV,AUC,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes
197,500,0.5905511811023622,0.6266318537859008,0.7396693366384254,216089,143,260,240,2,"['LINC02196', 'RP11-719N9.1']","['MORC1', 'GUCA1C', 'LINC02196', 'TG', 'TSPAN18', 'RP11-719N9.1', 'MSC-AS1', 'RP11-875G18.1', 'DPF3', 'SDK1']"
198,417,0.7587548638132295,0.8986175115207373,0.7337620978731889,216293,22,222,195,3,"['CTXND1', 'COL5A2', 'EYS']","['IGF2BP2', 'ABI3BP', 'PRSS12', 'CTXND1', 'COL5A2', 'EYS', 'DPF3', 'BMPR1B', 'TRHDE', 'SATB1-AS1']"
199,500,0.747319034852547,0.8991935483870968,0.7229421917200044,216207,25,277,223,2,"['bP-21201H5.1', 'POSTN']","['bP-21201H5.1', 'CHRNA1', 'AJ006995.3', 'RP11-354I13.2', 'POSTN', 'ARHGAP15', 'CASC6', 'LINC01885', 'OTOF', 'PDLIM5']"
200,500,0.33441558441558433,0.39615384615384613,0.6026369640016278,216075,157,397,103,3,"['CHRNA1', 'SCART1', 'RP11-217C7.1']","['bP-21201H5.1', 'CHRNA1', 'AJ006995.3', 'SCART1', 'RP11-217C7.1', 'TNNT2', 'RP11-719N9.1', 'SLC47A1', 'COLEC12', 'LINC01331']"
201,500,0.4375981161695448,0.435546875,0.7223317362832513,215943,289,277,223,3,"['RP11-217C7.1', 'RP11-719N9.1', 'SLC47A1']","['RP11-217C7.1', 'SCART1', 'RP11-287J11.1', 'OR2B4P', 'RP11-719N9.1', 'SLC47A1', 'MAP3K20', 'ADAMTS16', 'MYO5B', 'ADRA1A']"
202,398,0.7114467408585055,0.8325581395348837,0.7247911671850428,216298,36,219,179,3,"['TTR', 'RP11-719N9.1', 'ADRA1A']","['TTR', 'LINC01320', 'SERPINF1', 'RP11-719N9.1', 'IGFBP7', 'ADRA1A', 'SEMA5A', 'CNTNAP2', 'CALM1', 'GNAS']"
203,500,0.4761904761904762,0.5691699604743083,0.6437479558992193,216123,109,356,144,3,"['LINC02248', 'RP11-484N11.1', 'ST18']","['LINC02248', 'RP11-484N11.1', 'TNNT2', 'RP11-287J11.1', 'RP11-719N9.1', 'ST18', 'MYO5B', 'ADRA1A', 'AC114765.1', 'CDH20']"
204,500,0.4578025477707006,0.6084656084656085,0.6148288874912131,216158,74,385,115,4,"['RP11-287J11.1', 'LINC00499', 'TTR', 'CASC6']","['RP11-287J11.1', 'LINC00499', 'LINC02237', 'TTR', 'RP11-719N9.1', 'CASC6', 'ADRA1A', 'ZFPM2-AS1', 'TMSB10', 'RPL32']"
205,500,0.3442928039702233,0.39928057553956836,0.6106138406896296,216065,167,389,111,3,"['CTD-2215L10.1', 'RP11-217C7.1', 'RP11-287J11.1']","['RP11-484N11.1', 'CTD-2215L10.1', 'RP11-217C7.1', 'RP11-287J11.1', 'LINC00499', 'LINC02237', 'RP11-719N9.1', 'CASC6', 'ZFPM2-AS1', 'SNTG1']"
206,172,0.5578512396694215,0.6923076923076923,0.6569213322909597,216536,24,118,54,4,"['GLI3', 'AC002066.1', 'RP11-640F22.1', 'EBF1']","['LINC02137', 'GLI3', 'AC002066.1', 'RP11-640F22.1', 'TRPC6', 'EBF1', 'FBXL7', 'SPHKAP', 'CNTN5', 'SORCS3']"
207,500,0.47906602254428343,0.4798387096774194,0.7374034185504459,215974,258,262,238,3,"['DRD2', 'MME', 'LINC01378']","['GPR6', 'DRD2', 'PENK', 'GPR88', 'MME', 'LINC01378', 'LINC02822', 'TESPA1', 'SAMD5', 'SORCS1']"
208,500,0.3720508166969147,0.38497652582159625,0.6633941692256465,215970,262,336,164,3,"['RP1-71H24.1', 'PENK', 'SH3RF2']","['RP1-71H24.1', 'GPR6', 'SOX9-AS1', 'DRD2', 'PENK', 'SH3RF2', 'SMOC2', 'LINC01117', 'LINC01378', 'RP11-875G18.1']"
209,500,0.46518264840182644,0.5207667731629393,0.6626531503200267,216082,150,337,163,4,"['RP11-358P11.1', 'LINC02137', 'SH3RF2', 'DRD1']","['RP1-71H24.1', 'RP11-358P11.1', 'LINC02137', 'SH3RF2', 'DRD1', 'RP11-406G20.1', 'RP11-875G18.1', 'ANKRD20A11P', 'TAC1', 'TRPC6']"
210,500,0.5263157894736842,0.5897435897435898,0.6837040216064227,216104,128,316,184,3,"['RP11-286O1.1', 'LINC02137', 'LINC02822']","['RP11-286O1.1', 'LINC02137', 'DRD1', 'MME', 'LINC02822', 'TAC1', 'TESPA1', 'EBF1', 'RELN', 'PDE10A']"
211,500,0.506198347107438,0.8376068376068376,0.5979560657072034,216213,19,402,98,3,"['DRD1', 'PTPRQ', 'RP11-640F22.1']","['PDYN', 'RP11-286O1.1', 'DRD1', 'PTPRQ', 'MCTP2', 'RP11-640F22.1', 'FER1L6-AS2', 'TAC1', 'RELN', 'DACH1']"
212,500,0.5085301837270341,0.60546875,0.654766454548818,216131,101,345,155,3,"['RP11-358P11.1', 'PENK', 'RP5-1180C18.1']","['GPR6', 'RP11-358P11.1', 'DRD2', 'PENK', 'GPR88', 'RP5-1180C18.1', 'RP11-406G20.1', 'RP11-640F22.1', 'SEMA6D', 'KCNIP1']"
213,500,0.5,0.65,0.6298381368160124,216162,70,370,130,2,"['LINC00534', 'PENK']","['GPR6', 'RP11-829H16.3', 'DRD2', 'SCIN', 'LINC00534', 'PENK', 'DRD3', 'LINC01117', 'RP11-19D22.1', 'ADAMTS9-AS2']"
214,500,0.29761904761904756,0.3791469194312796,0.5796970846128232,216101,131,420,80,3,"['DRD1', 'LINC01117', 'STAC']","['DRD3', 'ABI3BP', 'DRD1', 'LINC01117', 'TAC1', 'STAC', 'CTC-552D5.1', 'CNTNAP3', 'RELN', 'ADAMTS9-AS2']"
215,500,0.32370517928286857,0.3448275862068966,0.6294288541936438,215985,247,370,130,3,"['RP11-829H16.3', 'DRD1', 'RP11-875G18.1']","['RP11-829H16.3', 'LINC02137', 'SH3RF2', 'DRD1', 'RP11-875G18.1', 'ANKRD20A11P', 'CTC-535M15.2', 'TAC1', 'AGBL1', 'CTC-340A15.2']"
216,500,0.479014598540146,0.7046979865771812,0.6048982574272078,216188,44,395,105,5,"['DRD2', 'PENK', 'RP11-97F8.2', 'EYA2', 'CTC-340A15.2']","['DRD2', 'PENK', 'RP11-97F8.2', 'EYA2', 'RP11-323I15.5', 'CTC-340A15.2', 'CTC-552D5.1', 'FGFR2', 'SLC24A4', 'PBX3']"
217,500,0.40625000000000006,0.8666666666666667,0.5649768766880018,216222,10,435,65,2,"['DCDC2C', 'PENK']","['DCDC2C', 'PENK', 'CACNG5', 'SIX3', 'LPL', 'CALCRL', 'CTC-552D5.1', 'SLC24A4', 'ARHGAP6', 'MEIS2']"
218,500,0.5613207547169811,0.85,0.6189514410448037,216211,21,381,119,3,"['RP11-142I20.2', 'DRD3', 'MME']","['RP11-142I20.2', 'ISL1', 'DRD3', 'CTA-929C8.8', 'MME', 'FAM160A1', 'RP11-323I15.5', 'CTC-552D5.1', 'SEMA3E', 'THSD7B']"
219,500,0.5914512922465209,0.6296296296296297,0.7376762736320249,216092,140,262,238,3,"['ISL1', 'CXCL14', 'FOXP2']","['ISL1', 'NPNT', 'NTN1', 'CTA-929C8.8', 'CXCL14', 'FOXP2', 'PTPRZ1', 'FSTL4', 'NELL1', 'GRM5']"
220,391,0.5443322109988776,0.776,0.6239762080634023,216313,28,294,97,3,"['ISL1', 'MKX', 'PCSK6']","['CTD-2314G24.2', 'ISL1', 'DRD1', 'MME', 'MKX', 'PCSK6', 'TESPA1', 'CTC-552D5.1', 'EBF1', 'MYO1B']"
221,500,0.6537102473498233,0.9367088607594937,0.6479768766880019,216222,10,352,148,3,"['DRD2', 'RP11-111G13.1', 'CTC-535M15.2']","['GPR6', 'RP4-736H5.3', 'DRD2', 'RP11-111G13.1', 'CTC-535M15.2', 'CTC-340A15.2', 'PDLIM5', 'POU6F2', 'DACH1', 'SEMA6D']"
222,500,0.5967336683417086,0.6959706959706959,0.6898080765104148,216149,83,310,190,3,"['PENK', 'GFRA1', 'TAC1']","['RP11-286O1.1', 'PENK', 'C6orf141', 'FBXL21P', 'GFRA1', 'TAC1', 'AC133680.1', 'KCNH8', 'STAC', 'FOXP2']"
223,500,0.4721615720524017,0.5195195195195195,0.6726300270080284,216072,160,327,173,3,"['CALCRL', 'GFRA1', 'TAC1']","['RP11-286O1.1', 'FBXL21P', 'C6orf141', 'CALCRL', 'GFRA1', 'TAC1', 'SEMA6D', 'RP11-436D23.1', 'PTPRK', 'PDE10A']"
224,500,0.2974232456140351,0.27573062261753495,0.7156819712161012,215662,570,283,217,4,"['TACR1', 'RXFP1', 'ALK', 'FOXP2']","['RP11-306O13.1', 'TACR1', 'RXFP1', 'PBX3', 'ALK', 'FOXP2', 'SEMA6D', 'PDE1C', 'SPATS2L', 'SGCZ']"
225,500,0.4041353383458647,0.6099290780141844,0.5858728217840097,216177,55,414,86,3,"['CASZ1', 'LINC02137', 'LAMA3']","['ZNF736P9Y', 'CASZ1', 'LINC02137', 'LAMA3', 'OTOF', 'RP11-799O21.2', 'CALCRL', 'RXFP1', 'CTC-340A15.2', 'FOXP2']"
226,500,0.4290429042904291,0.5842696629213483,0.6038288874912131,216158,74,396,104,4,"['CXCL14', 'PTPRQ', 'EYA2', 'RXFP1']","['OTOF', 'CXCL14', 'PTPRQ', 'EYA2', 'PTH2R', 'RXFP1', 'CTC-535M15.2', 'CTC-340A15.2', 'RP11-323I15.5', 'FOXP2']"
227,359,0.5549510337323177,0.7285714285714285,0.641973470011235,216335,38,257,102,4,"['NPFFR2', 'FAM160A1', 'XACT', 'ONECUT2']","['TENT5A', 'NPFFR2', 'CXCL14', 'FAM160A1', 'XACT', 'ONECUT2', 'MRAP2', 'PREX2', 'FOXP2', 'HTR2C']"
228,500,0.6337412587412588,0.9006211180124224,0.6449630027008029,216216,16,355,145,5,"['RP11-154H17.1', 'NPFFR2', 'MEIS1', 'SEMA3C', 'ADAMTSL1']","['RP11-154H17.1', 'NPFFR2', 'MEIS1', 'EYA4', 'SEMA3C', 'ADAMTSL1', 'PREX2', 'EPHA3', 'FOXP2', 'CPNE8']"
229,500,0.33943965517241376,0.5887850467289719,0.5628982574272078,216188,44,437,63,5,"['CACNG5', 'PTH2R', 'MEIS1', 'TSHZ1', 'ADAMTSL1']","['NPFFR2', 'CACNG5', 'PTH2R', 'MEIS1', 'TSHZ1', 'ADAMTSL1', 'FOXP2', 'CDH6', 'PREX2', 'PCDH11X']"
230,500,0.5181086519114688,0.553763440860215,0.7056161530208294,216066,166,294,206,4,"['EYA2', 'RXFP1', 'HRH3', 'ADAMTS3']","['EYA2', 'RXFP1', 'HRH3', 'ADAMTS3', 'PBX3', 'FOXP2', 'CADPS2', 'ZNF804B', 'ERBB4', 'SEMA6D']"
231,500,0.3019323671497584,0.3460207612456747,0.5995629694032336,216043,189,400,100,6,"['NPFFR2', 'LMNTD1', 'RXFP1', 'PCDH11Y', 'TLL1', 'VWC2L']","['NPFFR2', 'LMNTD1', 'RXFP1', 'PCDH11Y', 'TLL1', 'VWC2L', 'PCDH11X', 'PLCH1', 'GRM8', 'ERBB4']"
232,500,0.45243619489559167,0.5098039215686274,0.6556531503200268,216082,150,344,156,3,"['CHRM5', 'ABCA1', 'RXFP1']","['ZNF736P9Y', 'EYA2', 'CXCL14', 'CHRM5', 'ABCA1', 'RXFP1', 'RP11-323I15.5', 'VWC2L', 'PCDH11X', 'NELL1']"
233,500,0.28846153846153844,0.27395209580838326,0.6818785193680862,215747,485,317,183,4,"['ZNF736P9Y', 'AC133680.1', 'CADPS2', 'PCDH11X']","['ZNF736P9Y', 'AC133680.1', 'PBX3', 'CADPS2', 'VWC2L', 'PCDH11X', 'CDH12', 'PTPRK', 'ARPP21', 'DMD']"
234,500,0.4343220338983051,0.47262247838616717,0.6635768433904325,216049,183,336,164,3,"['PAX6', 'NPFFR2', 'PRLR']","['ZNF736P9Y', 'PAX6', 'NPFFR2', 'EYA2', 'SYT10', 'PRLR', 'MEIS1', 'PCDH11Y', 'FOXP2', 'EPHA3']"
235,500,0.792857142857143,0.9866666666666667,0.7219930630064004,216229,3,278,222,2,"['NPY', 'NOS1']","['NPY', 'CORT', 'TENT5A', 'CRHBP', 'SST', 'NOS1', 'TACR1', 'LHX6', 'SOX6', 'NXPH2']"
236,500,0.3414096916299559,0.6078431372549019,0.5619075067520072,216192,40,438,62,3,"['PRTG', 'MYO5B', 'TAC1']","['PRTG', 'RGS5_ENSG00000143248', 'NPPC', 'MYO5B', 'TAC1', 'EYS', 'SOX6', 'PDGFC', 'SPHKAP', 'AQP4-AS1']"
237,500,0.4262672811059908,0.8043478260869565,0.5739583780384031,216214,18,426,74,3,"['BCHE', 'PDGFD', 'CMTM8']","['RP11-656G20.1', 'FBN2', 'MYRFL', 'BCHE', 'PDGFD', 'CMTM8', 'LHX6', 'SNTG2', 'SOX6', 'PDE3A']"
238,500,0.6776315789473685,0.807843137254902,0.7058866957712087,216183,49,294,206,2,"['ST18', 'IL1RAPL2']","['PDGFD', 'OPN3', 'ST18', 'MAF', 'IL1RAPL2', 'PKP2', 'LINC01885', 'PDE3A', 'SOX6', 'THSD4']"
239,500,0.44921874999999994,0.7022900763358778,0.591909819083207,216193,39,408,92,3,"['RP11-656G20.1', 'PIEZO2', 'HPSE2']","['RP11-656G20.1', 'PIEZO2', 'HPSE2', 'EYS', 'SOX6', 'PLCH1', 'SLC24A4', 'SPARCL1', 'BTBD11', 'CDH12']"
240,500,0.5503412969283277,0.7678571428571429,0.628909819083207,216193,39,371,129,4,"['RP11-656G20.1', 'FBN2', 'TAFA4', 'SYT10']","['RP11-656G20.1', 'RGS5_ENSG00000143248', 'DKK2', 'FBN2', 'TAFA4', 'SYT10', 'DISC1', 'SOX6', 'PREX2', 'ERBB4']"
241,500,0.4482323232323232,0.5239852398523985,0.6417017092752229,216103,129,358,142,4,"['RP11-656G20.1', 'BMP6', 'SOX6', 'ANKRD30B']","['RP11-13N12.1', 'RP11-656G20.1', 'CMTM8', 'BMP6', 'SOX6', 'ANKRD30B', 'HTR2C', 'PTPRT', 'CDH12', 'FSTL5']"
