ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Clustering_Reference	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Composed_primarily_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	>AI oboInOwl:hasDbXref	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	TI 'composed primarily of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202210140_258	HumanBrain 0258 - CS202210140_258	MGE_257	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_258	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_257		HumanBrain 0258			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051258				
PCL_INDV:CS202210140_259	HumanBrain 0259 - CS202210140_259	MGE_258	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_259	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_258		HumanBrain 0259			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051259				
PCL_INDV:CS202210140_260	HumanBrain 0260 - CS202210140_260	MGE_259	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_260	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_259		HumanBrain 0260			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051260				
PCL_INDV:CS202210140_261	HumanBrain 0261 - CS202210140_261	MGE_260	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_261	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_260		HumanBrain 0261			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051261				
PCL_INDV:CS202210140_262	HumanBrain 0262 - CS202210140_262	MGE_261	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_262	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_261		HumanBrain 0262			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051262				
PCL_INDV:CS202210140_263	HumanBrain 0263 - CS202210140_263	MGE_262	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_263	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_262		HumanBrain 0263			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051263				
PCL_INDV:CS202210140_264	HumanBrain 0264 - CS202210140_264	MGE_263	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_484		CS202210140_264	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		MGE_263		HumanBrain 0264			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051264				
PCL_INDV:CS202210140_265	HumanBrain 0265 - CS202210140_265	LLC_264	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_265	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_264		HumanBrain 0265			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051265				
PCL_INDV:CS202210140_266	HumanBrain 0266 - CS202210140_266	LLC_265	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_266	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_265		HumanBrain 0266			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051266				
PCL_INDV:CS202210140_267	HumanBrain 0267 - CS202210140_267	LLC_266	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_267	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_266		HumanBrain 0267			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051267				
PCL_INDV:CS202210140_268	HumanBrain 0268 - CS202210140_268	LLC_267	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_268	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_267		HumanBrain 0268			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051268				
PCL_INDV:CS202210140_269	HumanBrain 0269 - CS202210140_269	LLC_268	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202210140_485		CS202210140_269	https://purl.brain-bican.org/taxonomy/CCN202210140/cell_to_cell_set_assignments.csv		LLC_268		HumanBrain 0269			Kimberly Siletti	10.1126/science.add7046		http://purl.obolibrary.org/obo/PCL_0051269				
